Country,ISO Alpha3,FAO RFB1,FAO RFB2,FAO RFB3,FAO RFB4,FAO RFB5,FAO RFB6,FAO RFB7,FAO RFB8,FAO RFB9,FAO RFB10,FAO RFB11,FAO RFB12
Aruba,ABW,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,AFG,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,CECAF,ICCAT,LDC,NFIDC,SEAFO,NA,NA,NA,NA,NA,NA,NA
Anguilla,AIA,ICCAT,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,EIFAAC,GFCM,ICCAT,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,ARE,GFCM,ICCAT,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,ARG,CCAMLR,COPPESAALC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,LLDC,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,ASM,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Southern Terr,ATF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,ATG,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,AUS,APFIC,CCAMLR,FFA,IOTC,CA,OECD,NA,NA,NA,NA,NA,NA
Austria,AUT,EIFAAC,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA
Azerbaijan,AZE,LLDC,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,BDI,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA
Belgium,BEL,CCAMLR,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA
Benin,BEN,CECAF,CIFAA,LIC,LIFDC,LDC,NFIDC,FCWC,NA,NA,NA,NA,NA
Bonaire/S.Eustatius/Saba,BES,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,BFA,CCAMLR,COPPESAALC,ICCAT,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,BGD,APFIC,LIFDC,LDC,NFIDC,CA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,BGR,EIFAAC,GFCM,EU(28),NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahrain,BHR,RECOFI,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,BHS,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,BIH,EIFAAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Bartholemy,BLM,WECAFC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,BLR,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,BLZ,ICCAT,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bermuda,BMU,ICCAT,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia (PS),BOL,COPPESAALC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil (inland & marine, separately)",BRA,CCAMLR,COPPESAALC,ICCAT,WECAFC,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,BRB,ICCAT,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,BRN,SEAFDEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bhutan,BTN,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,BWA,CIFAA,LLDC,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA
Canada,CAN,ICCAT,ICES,FO,SCO,NPAFC,OECD,NA,NA,NA,NA,NA,NA
Switzerland,CHE,GFCM,ICCAT,LIFDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Channel Islands,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,CCAMLR,COPPESAALC,CPPS,OECD,NA,NA,NA,NA,NA,NA,NA,NA
China,CHN,APFIC,CCAMLR,ICCAT,IOTC,CA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,CIV,CECAF,CIFAA,ICCAT,LIFDC,NFIDC,FCWC,NA,NA,NA,NA,NA,NA
Cameroon,CMR,CECAF,CIFAA,COREP,LIFDC,AF,NA,NA,NA,NA,NA,NA,NA
Congo Dem. Rep. of the,COD,CECAF,CIFAA,COREP,LIC,LIFDC,LDC,NFIDC,NA,NA,NA,NA,NA
Congo,COG,CECAF,CIFAA,COREP,LIFDC,NA,NA,NA,NA,NA,NA,NA,NA
Cook Islands,COK,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colombia,COL,COPPESAALC,CPPS,WECAFC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Comoros,COM,IOTC,LIC,LIFDC,LDC,SIDS,NFIDC,SWIOFC,NA,NA,NA,NA,NA
Cabo Verde,CPV,CECAF,ICCAT,SRCF,SIDS,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,COPPESAALC,WECAFC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,CUB,CECAF,COPPESAALC,FO,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA
Curacao,CUW,ICCAT,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,CYM,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,CYP,EIFAAC,GFCM,EU(28),NA,NA,NA,NA,NA,NA,NA,NA,NA
Czech Rep.,CZE,EIFAAC,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,DEU,CCAMLR,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,LIFDC,LDC,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominica,DMA,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denmark,DNK,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,DOM,COPPESAALC,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,GFCM,ICCAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zanzibar,EAZ,APFIC,CCAMLR,CECAF,ICCAT,ICES,FO,SCO,NPAFC,WECAFC,OECD,NA,NA
Ecuador,ECU,COPPESAALC,CPPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,EGY,APFIC,CCAMLR,EIFAAC,ICES,IOTC,WECAFC,EU(28),OECD,NA,NA,NA,NA
Eritrea,ERI,CIFAA,IOTC,LIC,LIFDC,LDC,NFIDC,NA,NA,NA,NA,NA,NA
Spain,ESP,CCAMLR,CECAF,EIFAAC,GFCM,ICES,WECAFC,EU(28),OECD,NA,NA,NA,NA
Estonia,EST,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA
Ethiopia,ETH,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA
Finland,FIN,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,FJI,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Falkland Is.(Malvinas),FLK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,FRA,APFIC,CCAMLR,CECAF,EIFAAC,GFCM,ICES,IOTC,WECAFC,EU(28),SWIOFC,OECD,NA
Faroe Islands,FRO,ICES,FO,SCO,NEAFC,NA,NA,NA,NA,NA,NA,NA,NA
Micronesia Fed. States of,FSM,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,GAB,CECAF,CIFAA,COREP,ICCAT,NFIDC,NA,NA,NA,NA,NA,NA,NA
United Kingdom,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,GEO,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghana,GHA,CECAF,CIFAA,ICCAT,LIFDC,FCWC,AF,NA,NA,NA,NA,NA,NA
Gibraltar,GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,GIN,CECAF,CIFAA,ICCAT,IOTC,SRCF,WECAFC,LIC,LIFDC,LDC,NFIDC,NA,NA
Guadeloupe,GLP,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gambia,GMB,CECAF,CIFAA,SRCF,LIC,LIFDC,LDC,NFIDC,NA,NA,NA,NA,NA
Guinea Bissau,GNB,CECAF,ICCAT,SRCF,LIC,LIFDC,LDC,SIDS,NFIDC,NA,NA,NA,NA
Equatorial Guinea,GNQ,CECAF,ICCAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,GRC,CECAF,EIFAAC,GFCM,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA
Grenada,GRD,ICCAT,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Greenland,GRL,ICES,FO,SCO,NEAFC,NA,NA,NA,NA,NA,NA,NA,NA
Guatemala,GTM,COPPESAALC,ICCAT,WECAFC,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Guiana,GUF,WECAFC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guam,GUM,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guyana,GUY,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
China Hong Kong SAR,HKG,APFIC,CCAMLR,ICCAT,IOTC,CA,NA,NA,NA,NA,NA,NA,NA
Honduras,HND,COPPESAALC,ICCAT,WECAFC,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,HRV,EIFAAC,GFCM,EU(28),NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,HTI,WECAFC,LIC,LIFDC,LDC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA
Hungary,HUN,EIFAAC,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indonesia,IDN,APFIC,IOTC,SEAFDEC,CA,NA,NA,NA,NA,NA,NA,NA,NA
Isle of Man,IMN,CIFAA,IOTC,LIC,LIFDC,LDC,NFIDC,SWIOFC,AF,NA,NA,NA,NA
India,IND,APFIC,CCAMLR,IOTC,LIFDC,CA,NA,NA,NA,NA,NA,NA,NA
British Indian Ocean Ter,IOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ireland,IRL,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA
Iran,IRN,IOTC,RECOFI,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,IRQ,RECOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,ISL,EIFAAC,ICCAT,ICES,FO,NEAFC,OECD,NA,NA,NA,NA,NA,NA
Israel,ISR,EIFAAC,GFCM,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA
Italy,ITA,CCAMLR,CECAF,EIFAAC,GFCM,EU(28),OECD,NA,NA,NA,NA,NA,NA
Jamaica,JAM,COPPESAALC,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Jordan,JOR,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Japan,JPN,APFIC,CCAMLR,CECAF,GFCM,ICCAT,IOTC,FO,NPAFC,SEAFDEC,WECAFC,SEAFO,OECD
Kazakhstan,KAZ,LLDC,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenya,KEN,CIFAA,IOTC,LIFDC,NFIDC,SWIOFC,AF,NA,NA,NA,NA,NA,NA
Kyrgyzstan,KGZ,LIFDC,LLDC,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,KHM,APFIC,SEAFDEC,LDC,NFIDC,CA,NA,NA,NA,NA,NA,NA,NA
Kiribati,KIR,FFA,LDC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,KNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea Republic of,KOR,APFIC,CCAMLR,CECAF,ICCAT,IOTC,FO,NPAFC,WECAFC,SEAFO,OECD,NA,NA
Kuwait,KWT,RECOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lao PDR,LAO,SEAFDEC,LDC,LLDC,NFIDC,CA,NA,NA,NA,NA,NA,NA,NA
Lebanon,LBN,GFCM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liberia,LBR,CECAF,ICCAT,LIC,LIFDC,LDC,NFIDC,FCWC,NA,NA,NA,NA,NA
Libya,LBY,GFCM,ICCAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Lucia,LCA,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,LKA,APFIC,IOTC,NFIDC,CA,NA,NA,NA,NA,NA,NA,NA,NA
Lesotho,LSO,CIFAA,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA,NA
Lithuania,LTU,EIFAAC,ICES,EU(28),NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,LVA,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA
China Macao SAR,MAC,APFIC,CCAMLR,ICCAT,IOTC,NA,NA,NA,NA,NA,NA,NA,NA
Saint-Martin,MAF,WECAFC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,MAR,CECAF,GFCM,ICCAT,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Monaco,MCO,GFCM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova Rep.,MDA,LLDC,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,MDG,CIFAA,IOTC,LIC,LIFDC,LDC,NFIDC,SWIOFC,NA,NA,NA,NA,NA
Maldives,MDV,IOTC,SIDS,NFIDC,SWIOFC,CA,NA,NA,NA,NA,NA,NA,NA
Mexico,MEX,COPPESAALC,ICCAT,WECAFC,OECD,NA,NA,NA,NA,NA,NA,NA,NA
Marshall Islands,MHL,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macedonia FYR,MKD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mali,MLI,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,AF,NA,NA,NA,NA,NA
Malta,MLT,GFCM,EU(28),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myanmar,MMR,APFIC,SEAFDEC,LDC,NFIDC,CA,NA,NA,NA,NA,NA,NA,NA
Montenegro,MNE,GFCM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mongolia,MNG,LLDC,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Is.,MNP,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mozambique,MOZ,CIFAA,IOTC,LIC,LIFDC,LDC,NFIDC,SWIOFC,AF,NA,NA,NA,NA
Mauritania,MRT,CECAF,ICCAT,SRCF,LIFDC,LDC,NFIDC,NA,NA,NA,NA,NA,NA
Montserrat,MSR,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Martinique,MTQ,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mauritius,MUS,CIFAA,IOTC,SIDS,NFIDC,SWIOFC,NA,NA,NA,NA,NA,NA,NA
Malawi,MWI,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA
Malaysia,MYS,APFIC,IOTC,SEAFDEC,CA,NA,NA,NA,NA,NA,NA,NA,NA
Mayotte,MYT,SWIOFC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Namibia,NAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Caledonia,NCL,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Niger,NER,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA
Nigeria,NGA,CECAF,CIFAA,ICCAT,FCWC,AF,NA,NA,NA,NA,NA,NA,NA
Nicaragua,NIC,COPPESAALC,ICCAT,WECAFC,LIFDC,NA,NA,NA,NA,NA,NA,NA,NA
Niue,NIU,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netherlands,NLD,CECAF,EIFAAC,ICES,WECAFC,EU(28),OECD,NA,NA,NA,NA,NA,NA
Norway,NOR,CCAMLR,CECAF,EIFAAC,ICCAT,ICES,FO,SCO,NEAFC,SEAFO,OECD,NA,NA
Nepal,NPL,APFIC,LIC,LIFDC,LDC,LLDC,NFIDC,CA,NA,NA,NA,NA,NA
Nauru,NRU,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand,NZL,APFIC,CCAMLR,FFA,OECD,NA,NA,NA,NA,NA,NA,NA,NA
Oman,OMN,IOTC,RECOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,PAK,APFIC,IOTC,NFIDC,CA,NA,NA,NA,NA,NA,NA,NA,NA
Panama,PAN,COPPESAALC,ICCAT,WECAFC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pitcairn Islands,PCN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peru,PER,COPPESAALC,CPPS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philippines,PHL,APFIC,ICCAT,IOTC,SEAFDEC,CA,NA,NA,NA,NA,NA,NA,NA
Palau,PLW,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papua New Guinea,PNG,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poland,POL,CCAMLR,CECAF,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA
Puerto Rico,PRI,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Korea Dem. People's Rep,PRK,LIC,LIFDC,CA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,PRT,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA
Paraguay,PRY,COPPESAALC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palestine Occupied Tr.,PSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
French Polynesia,PYF,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Qatar,QAT,RECOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reunion,REU,SWIOFC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Romania,ROU,CECAF,EIFAAC,GFCM,EU(28),NA,NA,NA,NA,NA,NA,NA,NA
Russian Federation,RUS,CCAMLR,ICCAT,ICES,FO,SCO,NEAFC,NPAFC,CIS,NA,NA,NA,NA
Rwanda,RWA,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA
Saudi Arabia,SAU,RECOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,SDN,CIFAA,IOTC,LIFDC,LDC,NFIDC,NA,NA,NA,NA,NA,NA,NA
Senegal,SEN,CECAF,CIFAA,ICCAT,SRCF,LIC,LIFDC,LDC,NFIDC,AF,NA,NA,NA
Singapore,SGP,SEAFDEC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Helena,SHN,ICCAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solomon Islands,SLB,FFA,LIFDC,LDC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA
Sierra Leone,SLE,CECAF,CIFAA,ICCAT,IOTC,SRCF,LIC,LIFDC,LDC,NFIDC,NA,NA,NA
El Salvador,SLV,COPPESAALC,ICCAT,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somalia,SOM,CIFAA,IOTC,LIC,LIFDC,LDC,NFIDC,SWIOFC,NA,NA,NA,NA,NA
St. Pierre and Miquelon,SPM,ICCAT,FO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serbia,SRB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Sudan,SSD,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,CECAF,COREP,ICCAT,LIFDC,LDC,SIDS,NFIDC,NA,NA,NA,NA,NA
Suriname,SUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovakia,SVK,EIFAAC,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovenia,SVN,GFCM,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sweden,SWE,EIFAAC,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Swaziland,SWZ,CCAMLR,EIFAAC,ICES,EU(28),OECD,NA,NA,NA,NA,NA,NA,NA
Sint Maarten,SXM,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seychelles,SYC,IOTC,SIDS,SWIOFC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syrian Arab Republic,SYR,LIFDC,LLDC,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turks and Caicos Is.,TCA,FFA,LDC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Chad,TCD,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA
Togo,TGO,FFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thailand,THA,CECAF,CIFAA,LIC,LIFDC,LDC,NFIDC,FCWC,NA,NA,NA,NA,NA
Tajikistan,TJK,APFIC,IOTC,SEAFDEC,CA,NA,NA,NA,NA,NA,NA,NA,NA
Tokelau,TKL,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turkmenistan,TKM,ICCAT,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA
Timor-Leste,TLS,APFIC,LDC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Tonga,TON,ICCAT,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,TTO,RECOFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tunisia,TUN,EIFAAC,GFCM,ICCAT,OECD,NA,NA,NA,NA,NA,NA,NA,NA
Turkey,TUR,LLDC,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuvalu,TUV,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,AF,NA,NA,NA,NA,NA
Taiwan,TWN,APFIC,CCAMLR,ICCAT,IOTC,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,TZA,CIFAA,IOTC,LIC,LIFDC,LDC,NFIDC,SWIOFC,AF,NA,NA,NA,NA
Uganda,UGA,CCAMLR,FO,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ukraine,UKR,LLDC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uruguay,URY,LIFDC,LLDC,CIS,NA,NA,NA,NA,NA,NA,NA,NA,NA
United States of America,USA,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uzbekistan,UZB,COPPESAALC,ICCAT,WECAFC,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
Saint Vincent/Grenadines,VCT,ICCAT,WECAFC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA,NA
"Venezuela, Boliv Rep of",VEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
British Virgin Islands,VGB,ICCAT,WECAFC,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Virgin Islands,VIR,CIFAA,LIC,LIFDC,LDC,LLDC,NFIDC,NA,NA,NA,NA,NA,NA
Vietnam,VNM,APFIC,SEAFDEC,LIFDC,CA,NA,NA,NA,NA,NA,NA,NA,NA
Vanuatu,VUT,FFA,ICCAT,LDC,SIDS,NFIDC,NA,NA,NA,NA,NA,NA,NA
Wallis and Futuna Is.,WLF,FFA,SIDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Samoa,WSM,IOTC,LIFDC,LDC,NFIDC,SWIOFC,NA,NA,NA,NA,NA,NA,NA
Yemen,YEM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Africa,ZAF,CCAMLR,ICCAT,IOTC,SEAFO,SWIOFC,NA,NA,NA,NA,NA,NA,NA
Zambia,ZMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zimbabwe,ZWE,CIFAA,LIC,LIFDC,LLDC,NA,NA,NA,NA,NA,NA,NA,NA